timestamp,acceleration,pressure,model_velocity,stages,model_displacement,barometer_height,true_displacement,true_velocity
7.807,0.0018051427703870753,98.4,-0.0002570345493206165,0,-0.036184813870521915,0.5488095518839714,0.10747507906954028,-0.0016378021280471276
7.911,0.0012965152363036575,98.398,-9.574833297269943e-05,0,-0.036203158580401164,0.604095713556665,0.10979267434055216,-0.0014850018008711636
8.015,0.001793951771391065,98.404,6.495595142742838e-05,0,-0.036204759784241515,0.5576372311824964,0.11175966598857767,-0.0013315176009145023
8.119,0.0013428351519505829,98.395,0.00022806887144119319,0,-0.03618952249345235,0.6560952746020596,0.114331631114513,-0.0011771176430391552
8.223,0.0014890605288524685,98.396,0.0003753274468429532,0,-0.03615814588490157,0.7274403343758159,0.11731066474149911,-0.001023457256530784
8.327,0.0014122853169760482,98.4,0.0005261974308260354,0,-0.036111266591262785,0.7265824057748442,0.12022504911415313,-0.0008701189596994616
8.431,0.001366366144735531,98.4,0.0006706873068350362,0,-0.036049028584904406,0.7234708917387639,0.12306305533607147,-0.0007176937148568738
8.639,0.001153512024365148,98.395,0.0009327546364215067,0,-0.035882270622805724,0.8241069866989866,0.12642177666638083,-0.0005121554121518878
8.743,0.001216399526205503,98.403,0.0010559900370511813,0,-0.03577885589978514,0.7453367501125688,0.12930461564376694,-0.00032519001034499254
8.951,0.0011692032987571553,98.407,0.0013040927308472974,0,-0.035533407291923697,0.5956752390230771,0.13122770954202967,-9.745754127498082e-05
9.055,0.0012643906857042527,98.403,0.001430639618039289,0,-0.03539120120978159,0.5386515705516806,0.1328105805495316,0.00010255037030524861
9.159,0.0012452711526985771,98.407,0.0015611420336362376,0,-0.035235628563894464,0.4194552723414102,0.1336683582771088,0.0002835608240065526
9.263,0.0010635510849685227,98.404,0.0016812007899949261,0,-0.035067026737065646,0.3726445327097068,0.1342470805376391,0.00044970086731354236
9.367,0.0014422776759341303,98.406,0.001811503885561866,0,-0.03488540609393669,0.29971283016958317,0.13440794612201903,0.0006060138989845671
9.471,0.0013047168719665845,98.401,0.0019543476020527015,0,-0.03468958181658074,0.3209773780066787,0.13470237176121422,0.0007564748247554291
9.575,0.0013893204260918097,98.405,0.002094437541551737,0,-0.034479044989113306,0.275711913317159,0.13475230561820362,0.0009023736973974213
9.679,0.0014283916993107196,98.404,0.00224095857207267,0,-0.03425360439120483,0.25340493300912914,0.1346946208047995,0.0010456357024279934
9.783,0.0028595295288427027,98.401,0.0024639304759366456,0,-0.03400895016070835,0.2832176672501433,0.1348271615806938,0.0011951580345719653
9.887,0.0024049777212984793,98.391,0.0027376848529439904,0,-0.033738466163606554,0.4703980207131325,0.1360046854150908,0.0013558546621937736
9.991,0.0023317253288116326,98.401,0.002983993411549715,0,-0.033440938893852884,0.48046957281042607,0.13723923536281485,0.0015237820033449782
10.095,0.0020966749410328746,98.406,0.0032142702255816315,0,-0.033118629184722054,0.41030399604514994,0.13810130851910818,0.0016967016106781633
10.199,0.002343142967546319,98.409,0.0034451407568277474,0,-0.03277233981363677,0.29976295186930957,0.13839085474906837,0.0018743320943824808
10.303,0.002066167434799131,98.406,0.003674424897749712,0,-0.032402122399598735,0.2480779097951033,0.13843292444439415,0.002056214077738299
10.407,0.0017790974455959307,98.394,0.0038743786715302545,0,-0.03200958461399618,0.39207682240311026,0.13924207087447857,0.0022391730145112808
10.511,0.0019096577096655624,98.397,0.0040661939396038505,0,-0.03159667483821721,0.47564040962114773,0.1404862335346108,0.0024224014556203034
10.615,0.0019075178575260038,98.404,0.004264687069097814,0,-0.03116346902576472,0.4405482260095612,0.14155397857555915,0.002606616911005723
