timestamp,acceleration,pressure,model_displacement,model_velocity,barometer_height,true_displacement,true_velocity,barometer_levels,stages
16.335,-0.0012393785,102.231,1.9468968194693694,0.0850566516537222,1.3693634764442704,1.622156229246587,0.08952832204047134,0.0,1.0
16.439,-0.0026179762,102.237,1.9557322809544275,0.08485606921277968,1.3197339091086921,1.6325230484633424,0.09046317817698099,0.0,1.0
16.543,-0.0038933381,102.234,1.964539705558672,0.08451748086884646,1.2975744686912574,1.639770457662596,0.08791292816710451,0.0,1.0
16.647,-0.004514643,102.223,1.973306788388043,0.084080265849829,1.3577270067996667,1.6518680168546809,0.09090372984693099,0.0,1.0
16.751,-0.005713243,102.224,1.9820234798326042,0.08354841577634242,1.4023698409038678,1.6667719600870745,0.09640475011921065,0.0,1.0
16.855,-0.0064198705,102.23,1.9906797071329798,0.08291749384626773,1.3966790629623906,1.679532835061152,0.09877025119501882,0.0,1.0
16.959,-0.0070542707,102.238,1.9992666924150582,0.08221683850139407,1.3323551167637189,1.6850789153680534,0.09308013622686685,0.0,1.0
17.063,-0.0075522005,102.237,2.0077777477211503,0.08145730200037388,1.2823113321764665,1.6855444796936754,0.08281225924531194,0.0,1.0
17.167,-0.008109938,102.236,2.016206956704572,0.08064287075772907,1.245688798233842,1.6827748030954668,0.07061119572298172,0.0,1.0
17.271,-0.008217474,102.239,2.0245496659391673,0.07979384529218103,1.1924819802189122,1.675741669788907,0.05566695068798553,0.0,1.0
17.375,-0.00843119,102.233,2.0328032078592035,0.07892811470851328,1.1904177860637675,1.669599349476151,0.04387915959914689,0.0,1.0
17.479,-0.008627136,102.228,2.04096560607557,0.07804108176007894,1.2263304958570127,1.6677495700150105,0.03840036208342835,0.0,1.0
17.583,-0.008710421,102.237,2.049034997824684,0.07713952879980235,1.193646280744661,1.6636835015770663,0.031342769135961936,0.0,1.0
17.687,-0.008790173,102.238,2.057010187212989,0.07622949789837029,1.158569317140976,1.6574773928125357,0.023024288733395036,0.0,1.0
17.791,-0.008912402,102.234,2.0648901872295293,0.07530896395817425,1.157964868076003,1.6524926209365367,0.017222056756703907,0.0,1.0
17.895,-0.008905232,102.232,2.072674140595898,0.07438244693353799,1.1732309597394084,1.650067388107196,0.014987224117147709,0.0,1.0
17.999,-0.008788518,102.235,2.080362071175471,0.07346237190440325,1.165950883546161,1.6479512144896589,0.013380951949703512,0.0,1.0
18.103,-0.008876343,102.224,2.0879543920695633,0.07254379913583422,1.2401174340773775,1.6533598669740561,0.020016171832286343,0.0,1.0
18.207,-0.008766731,102.235,2.09545124030371,0.07162635921314384,1.225828517990572,1.6575908993650759,0.024356936374303653,0.0,1.0
18.311,-0.008579889,102.223,2.1028534763998836,0.07072433494403985,1.300043003595585,1.6685708809761577,0.03521727256314566,0.0,1.0
18.415,-0.008510889,102.244,2.1101625937681945,0.06983561444655088,1.2125433690603704,1.6711211573436624,0.03540003062044884,0.0,1.0
18.519,-0.008312007,102.232,2.117380008557424,0.06896082380786567,1.2222105139670578,1.674709335905138,0.03662925058711521,0.0,1.0
18.623,-0.008356009,102.223,2.124506863917932,0.06809408697113421,1.296088983113666,1.6849142089887785,0.0447079443678825,0.0,1.0
18.727,-0.008258125,102.232,2.1315437243459674,0.06723015202954438,1.295376175903398,1.6943457191088238,0.050708629494925,0.0,1.0
18.831,-0.008116101,102.223,2.1384913842481525,0.0663786922432485,1.35908325815088,1.7087302646177478,0.061063059364426756,0.0,1.0
18.935,-0.008105313,102.239,2.1453509055346105,0.06553517865017085,1.2980143160777027,1.7163603301847774,0.0626071368190195,0.0,1.0
19.039,-0.00801347,102.225,2.1521229789236345,0.06469700190797474,1.344697089125739,1.7274600693770907,0.0675923239303606,0.0,1.0
19.143,-0.007913576,102.236,2.1588084003882266,0.06386879548802998,1.3052301777987565,1.7339622317340684,0.06688140203795465,0.0,1.0
19.247,-0.007828789,102.227,2.165408187763289,0.06305019249394563,1.3349915599148845,1.7424766266239695,0.06839507215828172,0.0,1.0
19.351,-0.007861708,102.222,2.1719229806759213,0.0622342865951362,1.3967262339207382,1.7556167980232642,0.07459047916607205,0.0,1.0
19.455,0.0007291883,102.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.559,0.00055268593,102.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.663,-4.515052e-06,102.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.767,0.00024702772,102.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.871,0.00041805767,102.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.975,0.0009136051,102.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.079,-0.0001623407,102.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.183,0.0014630444,102.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.391,0.0008898787,102.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.495,0.00039429404,102.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.599,0.0004233662,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.703,0.0011261031,102.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.911,0.00056477636,102.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.015,-0.00033663958,102.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.119,0.0006405581,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.223,0.00040129572,102.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
